"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2024","94.71","85.99","95.55","83.84","","7.28%"
"07/17/2024","88.28","85.38","89.08","84.02","","7.14%"
"07/16/2024","82.40","83.47","83.83","80.53","","-1.74%"
"07/15/2024","83.86","82.50","84.25","80.90","","2.76%"
"07/12/2024","81.61","82.32","82.32","72.07","","-3.39%"
"07/11/2024","84.47","82.47","86.96","82.39","","1.27%"
"07/10/2024","83.41","82.53","83.83","81.37","","6.15%"
"07/09/2024","78.58","78.36","79.24","77.56","","-0.01%"
"07/08/2024","78.59","79.93","80.11","78.19","","-0.27%"
"07/05/2024","78.80","77.69","79.07","77.60","","0.94%"
"07/03/2024","78.07","76.55","79.51","76.47","","1.31%"
"07/02/2024","77.06","76.86","78.92","75.30","","1.33%"
"07/01/2024","76.05","80.87","80.96","75.82","","-4.32%"
"06/28/2024","79.48","80.13","80.13","76.65","","-0.03%"
"06/27/2024","79.50","82.38","82.54","79.22","","-2.39%"
"06/26/2024","81.45","83.29","83.55","80.54","","-1.71%"
"06/25/2024","82.87","84.46","85.15","80.38","","-2.28%"
"06/24/2024","84.80","86.04","86.23","83.21","","1.79%"
"06/21/2024","83.31","86.09","87.31","81.69","","-2.81%"
"06/20/2024","85.72","79.89","86.59","79.76","","6.31%"
"06/18/2024","80.63","84.07","84.07","80.46","","-3.25%"
"06/17/2024","83.34","85.20","85.42","82.25","","-0.45%"
"06/14/2024","83.72","82.95","84.49","80.74","","7.06%"
"06/13/2024","78.20","77.68","80.28","76.74","","0.77%"
"06/12/2024","77.60","78.52","78.83","68.09","","-2.94%"
"06/11/2024","79.95","82.51","84.03","79.62","","1.24%"
"06/10/2024","78.97","80.54","80.63","78.77","","3.03%"
"06/07/2024","76.65","78.39","78.77","75.52","","-1.62%"
"06/06/2024","77.91","75.62","79.50","75.31","","3.55%"
"06/05/2024","75.24","77.29","78.13","74.82","","-3.10%"
"06/04/2024","77.65","81.00","81.73","77.65","","-1.45%"
"06/03/2024","78.79","80.05","82.85","78.41","","0.66%"
"05/31/2024","78.27","81.35","85.16","78.26","","-6.20%"
"05/30/2024","83.44","83.91","84.34","79.95","","-0.42%"
"05/29/2024","83.79","85.37","85.93","81.97","","2.63%"
"05/28/2024","81.64","82.14","84.33","81.25","","3.22%"
"05/24/2024","79.09","84.39","84.40","78.20","","-6.54%"
"05/23/2024","84.62","78.39","89.63","77.82","","5.83%"
"05/22/2024","79.96","78.37","85.97","76.23","","3.01%"
"05/21/2024","77.62","80.06","80.65","77.03","","-2.30%"
"05/20/2024","79.45","80.37","80.57","79.07","","1.30%"
"05/17/2024","78.43","77.22","79.33","77.16","","0.89%"
"05/16/2024","77.74","76.73","78.12","75.18","","1.87%"
"05/15/2024","76.31","76.58","77.23","74.86","","-1.73%"
